Iron Man,2008,Marvel,586000000
Incredible Hulk,2008,Marvel,264000000
Iron Man 2,2010,Marvel,625000000
Thor,2011,Marvel,451000000
Captain America: The First Avenger,2011,Marvel,371000000
Avengers,2012,Marvel,1521000000
Iron Man 2,2013,Marvel,1219000000
Thor: The Dark World,2013,Marvel,648000000
Captain America: The Winter Soldier,2014,Marvel,716000000
Guardians of the Galaxy,2014,Marvel,776000000
Avengers: Age of Ultron,2015,Marvel,1409000000
Ant-Man,2015,Marvel,520500000
Captain America: Civil War,2016,Marvel,1155800000
Doctor Strange,2016,Marvel,680200000
Guardians of the Galaxy vol. 2,2017,Marvel,867000000
Spider-Man: Homecoming,2017,Marvel,882900000
Thor: Ragnarok,2017,Marvel,858000000
Black Panther,2018,Marvel,1350500000
Avengers: Infinity War,2018,Marvel,2055700000
Ant-Man and the Wasp,2018,Marvel,520500000
Captain Marvel,2019,Marvel,1132800000
Avengers: Endgame,2019,Marvel,2808300000
Spider-Man Far From Home,2019,Marvel,1136300000
Black Widow,2021,Marvel,382400000
Shang-Chi and the legend of Ten Rings,2021,Marvel,434400000
Eternals,2021,Marvel,403200000
Spider-Man No Way Home,2021,Marvel,1910600000
Doctor Strange in the Multiverse of Madness,2022,Marvel,959000000
The Fast and the Furious,2001,Fast adn Furious,206400000
2 Fast 2 Furious,2003,Fast adn Furious,236400000
The Fast and the Furious: Tokyo Drift,2006,Fast adn Furious,157800000
Fast & Furious,2009,Fast adn Furious,359300000
Fast Five,2011,Fast adn Furious,630100000
Fast and Furious 6,2013,Fast adn Furious,789300000
Furious 7,2015,Fast adn Furious,1514500000
The Fate of the Furious,2017,Fast adn Furious,1236700000
Fast & Furious Presents: Hoobs and Show,2019,Fast adn Furious,760700000
F9: The Fast Saga,2021,Fast adn Furious,720700000
Harry Potter and the Philosophers Stone,2001,Harry Potter,965000000
Harry Potter and the Chember of Secrets,2002,Harry Potter,874900000
Harry Potter and the Prisoner of Azkaban,2004,Harry Potter,789600000
Harry Potter and the Goblet of Fire,2005,Harry Potter,886700000
Harry Potter and the Order of the Phoenix,2007,Harry Potter,939600000
Harry Potter and the Half-Blood Prince,2009,Harry Potter,929400000
Harry Potter and the Deathly Hallows Part I,2010,Harry Potter,951700000
Harry Potter and the Deathly Hallows Part II,2011,Harry Potter,1316300000
Fantastic Beasts and Where to Find Them,2016,Harry Potter,811700000
Fantastic Beasts: The Crimes of Grindelwald,2018,Harry Potter,648400000
Fantastic Beasts: The Secrets of Dumbledore,2020,Harry Potter,404500000
